target_period,agriculture_2020_9,fishing_2020_9,mining_2020_9,manufacturing_2020_9,electricity_2020_9,construction_2020_9,commerce_2020_9,services_2020_9,gdp_2020_9
2019m7,-1.7,39.8,0.3,8.3,4.1,0.6,3.2,4.1,3.8
2019m8,3.2,-3.6,4.2,2.1,4.0,5.0,3.1,4.2,3.6
2019m9,2.0,-3.4,-3.4,1.8,2.8,4.4,3.4,3.8,2.3
2019m10,5.2,-12.1,0.7,0.9,2.8,1.5,3.5,3.7,2.4
2019m11,5.2,-17.9,4.1,-2.3,2.4,-3.5,3.5,4.4,2.1
2019m12,7.7,-48.5,1.6,-5.5,2.0,-9.9,3.6,4.2,1.1
2020m1,6.0,-32.7,3.9,0.8,1.4,5.3,2.7,3.8,3.2
2020m2,4.5,19.3,3.9,5.3,5.0,5.7,2.6,3.8,3.9
2020m3,0.7,-21.4,-21.7,-32.2,-11.9,-46.3,-22.3,-6.7,-16.7
2020m4,1.6,-57.8,-42.3,-54.9,-25.6,-90.4,-65.4,-28.9,-39.9
2020m5,2.9,-47.0,-45.8,-41.5,-21.7,-66.9,-49.6,-23.0,-32.7
2020m6,-1.6,48.0,-14.4,-6.8,-10.6,-44.6,-28.0,-18.4,-18.1
2020m7,-6.5,33.3,-6.2,-10.4,-5.0,-12.8,-11.5,-13.5,-11.7
