target_period,agriculture_2020_5,fishing_2020_5,mining_2020_5,manufacturing_2020_5,electricity_2020_5,construction_2020_5,commerce_2020_5,services_2020_5,gdp_2020_5
2019m3,5.2,-18.0,0.4,3.8,6.7,6.1,3.0,4.1,3.4
2019m4,4.2,-65.1,-2.6,-14.0,3.8,9.5,3.0,4.0,0.1
2019m5,1.5,-28.8,-1.3,-6.8,4.2,-0.3,2.3,4.5,0.7
2019m6,0.2,11.4,-2.9,0.7,3.4,13.4,2.7,4.2,2.8
2019m7,-1.5,39.8,0.3,8.3,4.1,0.6,3.2,4.1,3.8
2019m8,3.5,-3.6,4.2,2.1,4.0,5.0,3.1,4.2,3.6
2019m9,2.6,-3.4,-3.4,1.8,2.8,4.4,3.4,3.8,2.4
2019m10,5.5,-12.1,0.7,0.9,2.8,1.5,3.5,3.7,2.4
2019m11,3.2,-17.9,4.1,-2.3,2.4,-3.5,3.5,4.4,2.0
2019m12,7.1,-48.5,1.6,-5.5,2.0,-9.9,3.6,4.3,1.1
2020m1,4.3,-32.7,3.8,0.8,1.4,5.2,2.7,3.8,3.0
2020m2,4.1,19.3,4.0,5.3,5.0,5.2,2.5,3.9,3.9
2020m3,0.7,-21.4,-21.8,-32.2,-11.9,-46.3,-22.3,-5.7,-16.3
