target_period,agriculture_2024_1,fishing_2024_1,mining_2024_1,manufacturing_2024_1,electricity_2024_1,construction_2024_1,commerce_2024_1,services_2024_1,gdp_2024_1
2022m11,3.2,-45.8,6.2,-1.6,5.7,7.4,3.0,1.4,2.1
2022m12,0.2,-0.4,9.4,-4.5,5.8,3.0,1.8,0.7,1.0
2023m1,3.2,27.4,-0.8,0.2,3.2,-11.9,1.2,-0.4,-0.9
2023m2,-0.3,1.0,0.4,-1.6,4.1,-10.1,2.4,0.1,-0.6
2023m3,-1.2,16.5,9.3,-0.4,6.5,-12.4,3.0,0.1,0.3
2023m4,-12.1,-8.8,17.4,-3.7,7.3,-5.2,3.2,0.6,0.4
2023m5,-4.8,-71.3,16.8,-15.7,5.7,-10.8,3.2,0.1,-1.3
2023m6,0.1,-68.9,16.0,-14.6,4.4,-6.0,3.1,0.5,-0.5
2023m7,-0.6,-47.9,11.4,-13.4,2.3,-8.8,3.0,0.3,-1.2
2023m8,-6.4,49.1,6.5,-4.1,3.8,-9.5,2.8,-0.3,-0.5
2023m9,-8.8,16.9,8.8,-9.3,2.9,-9.4,1.9,-0.7,-1.3
2023m10,-7.6,51.6,3.1,-2.7,2.6,-9.1,1.4,-0.4,-0.8
2023m11,1.2,61.0,8.0,-0.5,0.7,-8.1,1.3,0.1,0.3
