sectores_economicos;economic_sectors;2002_abr;2002_may;2002_jun;2002_jul;2002_ago;2002_set;2002_oct;2002_nov;2002_dic;2002_year;2003_ene;2003_feb;2003_mar;2003_abr;2003_ene_abr
agropecuario;agriculture and livestock;10.9;11.2;-0.5;2.7;0.6;6.6;3.4;8.5;6.6;5.8;5.4;1.4;-0.5;4.7;2.8
agricola;agriculture;14.1;12.1;-4.1;1.2;-3.8;4.5;2.1;9.6;9.8;6.1;5.2;0.4;-3.1;4.4;1.8
pecuario;livestock;5.2;9.1;7.4;5;5.8;8.6;4.7;7.4;3.6;5.3;5.6;2.7;3.1;5.2;4.1
pesca;fishing;-16.6;11.9;36.1;4.7;1.7;18.6;-26.3;57.7;51.8;3.1;-24.1;7.2;-31.4;8.1;-10
mineria e hidrocarburos;mining and fuel;19.7;15.2;21.3;0.9;7.1;3.7;4.2;2.4;-1.7;11.3;2.9;9.9;1.4;8.2;5.4
mineria;metals;22.2;17.2;22.1;0.8;7.4;3;4.7;2.5;-1.2;12;3.9;11.7;2;9.1;6.4
hidrocarburos;fuel;-1.1;-4.5;7.9;-1.5;-1;0.3;-1.4;0.6;-5.4;0.6;-7.7;-6.9;-4;-0.8;-4.9
manufactura;manufacturing;8.7;1.5;3.1;5.4;4.1;7.4;3.1;7.5;11.7;4.2;4;4.3;5.6;-0.6;3.2
procesadores recursos primarios;based on raw materials;-7.1;-3.5;4.5;0;-3.3;-1.9;-6.8;16;16.5;0.1;-10.1;-0.3;-7;9.2;-1.8
industria no primaria;non primary industries;13.8;3.2;2.8;7;6;9.7;5.7;5.3;10.4;5.3;7.7;5.4;8.8;-3.2;4.5
construccion;construction;8.5;5.2;10.2;13.5;7.5;13.3;4.2;2.4;5.5;8.3;-4.7;4.7;11.5;2;3.1
comercio;commerce;9.5;8.3;1.7;2.2;1.2;7.4;2.2;4.7;6.1;3.8;6.7;4.1;7.6;2.4;5.1
servicios;services;7.7;4.4;5.4;4.6;3.9;7.9;4.6;6.4;4.2;4.5;5.4;5;4.4;2.6;4.3
electricidad y agua;electricity and water;9.3;6;3.7;3.1;3.6;5.4;5;4.6;5.3;5.4;4.6;6.3;4.3;2.7;4.4
otros servicios;other services;7.6;4.3;5.5;4.6;4;8.1;4.6;6.5;4.1;4.5;5.5;4.9;4.4;2.6;4.3
valor agregado bruto;gross aggreagated value;9;6.2;5;4.3;3.7;7.7;3.7;6.2;5.7;5.1;4.4;4.7;4.5;2.7;4
impuestos a los productos y derechos de importación;taxes on products and import duties;10.6;0.8;8.1;11.6;8.6;17;12.1;11.5;13.3;7.5;8.8;11;16;0.5;8.8
pbi;gdp;9.2;5.7;5.3;5;4.1;8.5;4.4;6.7;6.5;5.3;4.8;5.2;5.5;2.5;4.4
vab sectores primarios;primary sectors;8.7;9.5;6.8;1.7;2.3;4.1;1;8.7;6.2;6.4;0.9;4.1;-1.8;6.5;2.5
vab sectores no primarios;non primary sectors;9.1;5.1;4.5;5;4;8.6;4.4;5.5;5.6;4.8;5.3;4.9;6.3;1.6;4.4
demanda interna;domestic demand;10.2;3.9;2.1;6.6;4;7.3;5.1;7.3;7.3;4.7;3.8;3.3;8.2;0.2;3.7
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
