sectores_economicos;economic_sectors;2003_jun;2003_jul;2003_ago;2003_set;2003_oct;2003_nov;2003_dic;2003_year;2004_ene;2004_feb;2004_mar;2004_abr;2004_may;2004_jun;2004_ene_jun;
agropecuario;agriculture and livestock;7.4;3.8;2.4;0.7;1.9;-1.4;-1.5;2.3;4.4;1.1;0.2;-4.7;-2.3;-6.9;2.1;
agricola;agriculture;8.7;2.7;2.3;-0.5;1.3;-2.7;-4.3;1.6;3.9;0.4;-1.4;-8.1;-4.3;-11.3;-4.7;
pecuario;livestock;3.1;5.5;2;1.8;2.2;0;1.8;3;5;1.9;2.3;1.9;2.4;2.1;2.6;
pesca;fishing;-21.3;-24.3;-3.6;-19.6;28.4;-2.7;-32;-12.6;5.1;9.5;26.9;12;39;28.5;21.3;
mineria e hidrocarburos;mining and fuel;9.5;12.2;1.7;10.4;5.4;5.2;4;6.9;10.4;17.8;9.2;10.6;-0.1;-2.5;7.3;
mineria;metals;10;13.5;2.3;12;6.1;6;4.5;7.7;11.6;19.7;10.9;12.1;0.4;-2.5;8.4;
hidrocarburos;fuel;0.2;-4;-10.3;-7.5;-3.7;-4.1;-1.5;-4.5;-3.4;-4.1;-8.7;-6.3;-5.2;-1.5;-4.8;
manufactura;manufacturing;3.2;0.4;1.9;3.1;2.5;1.1;-1.7;2.1;4.1;2.9;7.1;5.2;6.2;7.2;5.5;
procesadores recursos primarios;based on raw materials;-9.6;-7;5.3;5.3;6.3;-1.9;-15.5;-1.8;7.1;-2.5;-0.4;-3.7;10.4;16.2;4.6;
industria no primaria;non primary industries;7.1;2.6;1.1;2.6;1.5;2;2.7;3.2;3.4;4;8.9;7.9;5.1;5;5.7;
electricidad y agua;electricity and water;6.4;5.9;5.1;2.6;3.8;4.3;3.1;4.2;3.2;6.4;4.4;5;4.2;3.8;4.5;
construcción;construction;10.4;1.6;4.3;3.5;7.3;-0.4;5;4.2;6.9;5.9;8.7;3.6;3.1;5.5;5.7;
comercio;commerce;10;3.6;2.6;1.5;3.4;-1.6;1.7;3.8;1.9;2.6;4.7;2.9;1.3;0.9;2.3;
otros servicios;other services;4.6;3.9;1.9;2.1;6;0.5;6.3;4;3.1;4.7;8;4.1;4.2;4;4.7;
valor agregado bruto;gross aggreagated value;6;3.6;2.2;2.7;4.7;0.5;3.1;3.6;4;4.8;6.7;3.5;3;2.4;4;
impuestos a los productos y derechos de importación;taxes on products and import duties;10.9;0.4;6.7;6.6;4.6;2.6;5.5;5.3;0.3;8.7;-0.7;5.6;14.6;9.8;6.3;
pbi;gdp;6.5;3.3;2.7;3.1;4.7;0.7;3.4;3.8;3.6;5.2;5.9;3.7;4;3;4.2;
vab sectores primarios;primary sectors;4.4;3.9;2.5;4.9;4.6;0.9;-3.3;2.8;7.1;6.6;3.7;0.3;1.2;-1.5;2.5;
vab sectores no primarios;non primary sectors;6.6;3.6;2.2;2.2;4.8;0.4;4.7;3.8;3.2;4.3;7.4;4.5;3.6;3.5;4.4;
pbi desestacionalizado;seasonally adjusted gdp;1.7;0;-0.9;0.5;1;-0.8;1.1;;1.2;1.1;1;-0.7;-1;0.9;;
demanda interna;domestic demand;7.9;3.1;3.1;3.5;4.5;-0.2;2.3;3.3;1.7;3.4;3.1;4.3;4.7;4.9;3.7;
demanda interna desestacionalizada;seasonally adjusted domestic demand;2.2;0.9;-1.6;0.1;1.2;-1.2;0.7;;0.6;-0.1;1.6;1.9;-1.4;2.4;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
