target_period,agriculture_2023_2,fishing_2023_2,mining_2023_2,manufacturing_2023_2,electricity_2023_2,construction_2023_2,commerce_2023_2,services_2023_2,gdp_2023_2
2022m1,7.0,-28.9,4.5,-1.6,3.3,-0.6,2.3,4.1,3.0
2022m2,2.9,-24.0,0.0,2.7,4.3,-2.4,7.5,8.0,4.9
2022m3,4.9,-26.5,-0.9,4.2,2.8,1.4,8.1,4.6,3.9
2022m4,8.0,-36.6,-0.7,3.2,2.8,4.9,2.6,5.3,4.0
2022m5,9.5,-17.1,-5.9,1.7,2.0,0.2,2.8,5.1,2.6
2022m6,-0.1,18.4,3.2,5.5,3.1,5.2,2.5,2.7,3.5
2022m7,2.2,35.2,-5.7,2.4,4.9,2.5,2.8,2.6,1.8
2022m8,6.0,-4.9,-4.8,0.5,3.4,4.7,2.3,2.1,2.0
2022m9,3.4,0.7,-2.1,0.4,4.6,3.4,2.1,2.3,2.1
2022m10,6.4,11.6,1.7,0.2,4.2,4.4,2.8,2.4,2.3
2022m11,2.1,-45.6,5.2,-2.1,5.7,7.4,3.0,1.4,1.9
2022m12,-1.0,-2.8,9.3,-4.6,5.8,3.0,1.8,0.6,0.9
