target_period,agriculture_2023_10,fishing_2023_10,mining_2023_10,manufacturing_2023_10,electricity_2023_10,construction_2023_10,commerce_2023_10,services_2023_10,gdp_2023_10
2022m8,6.1,-0.5,-4.8,0.6,3.4,4.7,2.3,2.1,2.0
2022m9,3.7,4.4,-2.2,0.5,4.6,3.4,2.1,2.3,2.1
2022m10,5.8,10.0,2.4,-0.4,4.2,4.4,2.8,2.5,2.3
2022m11,3.2,-45.8,6.2,-2.0,5.7,7.4,3.0,1.0,1.9
2022m12,0.3,-0.4,9.4,-4.6,5.8,3.0,1.8,0.3,0.9
2023m1,2.3,27.4,-0.8,0.3,3.3,-11.9,1.2,-0.4,-0.9
2023m2,-0.5,1.0,0.4,-1.5,4.1,-10.1,2.4,0.0,-0.6
2023m3,-1.4,16.5,9.2,-0.2,6.5,-12.3,3.0,0.0,0.3
2023m4,-11.4,-8.8,17.4,-3.6,7.3,-5.1,3.2,0.5,0.4
2023m5,-4.7,-71.3,16.8,-15.6,5.7,-10.9,3.2,0.0,-1.3
2023m6,-1.4,-68.9,15.9,-14.6,4.5,-4.1,3.0,0.5,-0.6
2023m7,-0.7,-47.9,11.4,-13.9,2.3,-8.8,3.0,0.3,-1.3
2023m8,-4.0,49.1,5.2,-4.1,3.2,-9.6,2.8,-0.4,-0.6
